headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
PRESIDENT GREETS COMBAT MARINES,1971-05-01,https://www.nytimes.com/1971/05/01/archives/president-greets-combat-marines-promises-them-he-will-end-war-in.html,article,"CAMP PENDLETON, Calif., April 30—President Nixon wel comed home from Vietnam to clay the vanguard of the First Marine Division with a pledge to end the war “in a way worthy of your service.” ",Archives,By James M. Naughton Special to The New York Times,Archives,,"['Vietnam', 'Vietnam', 'Vietnam']"
Vietnam Medal of Honor Winner Killed in Detroit Store Holdup,1971-05-01,https://www.nytimes.com/1971/05/01/archives/vietnam-medal-of-honor-winner-killed-in-detroit-store-holdup.html,article,"DETROIT, April 30 (AP) — A Michigan man who won the Medal of Honor for bravery in Vietnam was shot and killed today by a store owner who said the soldier had tried to rob him. ",Archives,,Archives,,['Vietnam']
G.I. Patrol Attacked In the Ashau V alley; 5 Killed and 10 Hurt,1971-05-01,https://www.nytimes.com/1971/05/01/archives/gi-patrol-attacked-in-the-ashau-valley-5-killed-and-10-hurt.html,article,"SAIGON. South Vietnam, Sat urday, May 1 (AP)—North Viet namese troops ambushed reconnaissance patrol of Amer ican paratroopers in Ashau Valley, killing five and wound ing 10, the United States com mand reported today. ",Archives,,Archives,,['Vietnam']
Bunkers Seized Near Saigon,1971-05-01,https://www.nytimes.com/1971/05/01/archives/bunkers-seized-near-saigon.html,article,"SAIGON, South Vietnam, April 30 (Reuters)—American troops uncovered a strongly fortified bunker complex yes terday less than half a mile from a heavily traveled road northwest of here and fought an eight‐hour battle to cap ture it, the United States com mand reported today. ",Archives,,Archives,,['Vietnam']
Two Teachers Start Class to Help Veterans Find Jobs,1971-05-01,https://www.nytimes.com/1971/05/01/archives/two-teachers-start-class-to-help-veterans-find-jobs.html,article,"In the dusty room over looking Rivington Street, the class of Vietnam veterans bent over their work. “You wouldn't believe the bitter ness that comes out here,” the teacher said. “It's as if they suddenly realized they left one war and now they're in the middle of another one.”",Archives,By Paul L. Montgomery,Archives,,[]
Saigon Evicts a Critic,1971-05-01,https://www.nytimes.com/1971/05/01/archives/saigon-evicts-a-critic.html,article,"Saigon's eviction order to Don Luce, 36‐year‐old Amer ican social worker turned correspondent, is a blow at the right of the American people to know the truth about a conflict in which their Government is still expending lives and resources at a prodigious rate. ",Archives,,Archives,,"['Vietnam', 'Vietnam']"
"U.S. Command in Vietnam Bars ‘Battle Hymn of Calley’ From Radio Network, Citing Pending Appeal",1971-05-01,https://www.nytimes.com/1971/05/01/archives/us-command-in-vietnam-bars-battle-hymn-of-calley-from-radio-network.html,article,"SAIGON, South Vietnam, April 30 — The American Armed Forces Radio Network in Vietnam, “where the hits just keep on coming,” has been told to stop playing “The Bat tle Hymn of Lieutenant Calley.”",Archives,By Alvin Shuster Special to The New York Times,Archives,,['Vietnam']
‘What Good Came of It at Last?’,1971-05-01,https://www.nytimes.com/1971/05/01/archives/what-good-came-of-it-at-last-an-early-english-poem-might-have-been.html,article,"AHMADABAD, India — The English poet Robert Southey (1774–1843) wrote an admirable poem, “After Blenheim.” It could have been written about Indo china. The battle of Blenheim was fought in Bavaria in August, 1713, when the English and their allies, under the Duke of Marlborough and Prince Eugene of Savoy, gave a crushing de feat to the French and their allies.",Archives,By Homi K. Dastur,Archives,,['Vietnam']
330 PROTESTERS HELD IN CAPITAL,1971-05-01,https://www.nytimes.com/1971/05/01/archives/330-protesters-held-in-capital-they-blocked-entrances-to-justice.html,article,"WASHINGTON, April 30— The police arrested today 330 members of a civil rights and antiwar group conducting a week‐long “peoples' lobby” in the capital. ",Archives,,Archives,,['Vietnam']
Lawyers Stage Rally to Protest War,1971-05-01,https://www.nytimes.com/1971/05/01/archives/lawyers-stage-rally-to-protest-war.html,article,Hundreds of lawyers took to the streets here yesterday in an uncharacteristic protest against the war in Vietnam. ,Archives,By Lesley Oelsner,Archives,,['Vietnam']
Threat to Peace Coalition,1971-05-01,https://www.nytimes.com/1971/05/01/archives/threat-to-peace-coalition.html,article,"A small group of disrupters, putting their revolu tionary fantasies above the cause of peace, are nibbling away the effectiveness of last week's impressive mass appeals to end the war in Vietnam. The thrill‐seeking chaos of the fringe groups' Washington encampment and the escalation of their upheavals, including plans to paralyze Washington traffic next Monday, appear de signed to attract those domestic guerrillas whose primary interest Is in political warfare. ",Archives,,Archives,,['Vietnam']
Times Sq. Table Tennis Accents P.O.W. Plight,1971-05-01,https://www.nytimes.com/1971/05/01/archives/times-sq-table-tennis-accents-pow-plight.html,article,"A 24‐hour table tennis match is being played on a traffic island in Times Square by wives, mothers and chil dren of men who are prison ers of war or missing in action in Southeast Asia.",Archives,,Archives,,['Vietnam']
WASHINGTON,1971-05-02,https://www.nytimes.com/1971/05/02/archives/the-militants-blunder.html,article,"WASHINGTON— The antiwar pro tests in the capital are based on the notion that if you keep people from going to their offices in Washington you interfere with the efficiency and policies of the Government, but this is obviously ridiculous.",Archives,By James Reston,Archives,,['Vietnam']
Headliners,1971-05-02,https://www.nytimes.com/1971/05/02/archives/headliners.html,article,‘Miracle’,Archives,,Archives,,"['Vietnam', 'Vietnam']"
