headline,date,web_url,doc_type,lead_paragraph,material_type,author,section,subsection,keywords
War Protesters Seized On Pennsylvania Base,1972-04-01,https://www.nytimes.com/1972/04/01/archives/war-protesters-seized-on-pennsylvania-base.html,article,"HARRISBURG, Pa., March 31—About 30 demonstrators were seized by the military police today after they scaled the fence of the New Cumberland Army Depot near here in attempts to plant small trees. However, no charges were filed and all were released within hours and the remaining demonstrators also were expected to be freed. Charges had not been filed.",Archives,,Archives,,['Vietnam']
U.S. Reports Jet Downed MIG Over North Vietnam,1972-04-01,https://www.nytimes.com/1972/04/01/archives/us-reports-jet-downed-mig-over-north-vietnam.html,article,"SAIGON, South Vietnam, Saturday, April 1—The United States command announced yesterday that an American fighter‐bomber shot down MIG‐21 jet fighter over North Vietnamese territory near the Laotian border Thursday afternoon.",Archives,By Craig R. Whitney Special to The New York Times,Archives,,['Vietnam']
Truck Traffic Is Heavy Southward From Hanoi,1972-04-01,https://www.nytimes.com/1972/04/01/archives/truck-traffic-is-heavy-southward-from-hanoi.html,article,"HANOI, North Vietnam, March 17 — The Ho Chi Minh Trial starts in Hanoi. Every day hundreds of heavily laden trucks leave the capital to begin the drive of more than 300 miles through Laos and into South Vietnam.",Archives,By Seymour M. Hersh Special to The New York Times,Archives,,['Vietnam']
ENEMY STEPS UP ACTION IN VIETNAM,1972-04-01,https://www.nytimes.com/1972/04/01/archives/enemy-steps-up-action-in-vietnam-3-bases-west-of-saigon-are.html,article,"SAIGON, Smith Vietnam, Saturday, April 1—North Vietnamese gunners attacked three South Vietnamese army positions in Tayninh province west of Saigon this morning, as the heavy fighting south of the demilitarized zone spread to other areas of the country.",Archives,By Fox Butterfield Special to The New York Times,Archives,,['Vietnam']
Letters to the Editor,1972-04-01,https://www.nytimes.com/1972/04/01/archives/attempts-to-americanize-the-war.html,article,To the Editor: Your March 16 news story of Admiral Thomas H. Moorer's visit to Princeton University did not capture the significance of the event. The visit by the Chairman of the Joint Chiefs to the university campus was an important test of whether “the winding down” rhetoric has really worked with young people in this country.,Archives,,Archives,,['Vietnam']
The World,1972-04-02,https://www.nytimes.com/1972/04/02/archives/after-the-long-wait-the-test-vietnam.html,article,"For some months now, the American pullout from South Vietnam has been setting the stage for a critical potential test. American ground troops, their number down below 100,000 and being reduced at a rate of 1,000 a day, are no longer in a position to do much more than defend their own shrinking perimeters. With only United States air power being left behind for support, would the South Vietnamese army hold the line if the North Vietnamese and Vietcong forces launched another major offensive?",Archives,,Archives,,['Vietnam']
SUIT AGAINST WAR GOES TO 3 JUDGES,1972-04-02,https://www.nytimes.com/1972/04/02/archives/suit-against-war-goes-to-3-judges-us-court-in-philadelphia-rejects.html,article,"PHILADELPHIA, April 1—After setbacks in numerous court cases around the country, antiwar activists scored a preliminary victory this week in challenging the legality of the Vietnam war.",Archives,By Donald Janson Special to The New York Times,Archives,,['Vietnam']
U.S. Officials Say Hanoi Seeks a Show of Strength,1972-04-02,https://www.nytimes.com/1972/04/02/archives/us-officials-say-hanoi-seeks-a-show-of-strength-hanoi-said-to-seek.html,article,"WASHINGTON, April 1 —United States Government analysts said today that they saw three principal objectives behind the enemy offensive in the northern part of South Vietnam.",Archives,By Benjamin Welles Special to The New York Times,Archives,,['Vietnam']
Saigon Aide Asks a Leave In Retirement‐Fund Study,1972-04-02,https://www.nytimes.com/1972/04/02/archives/saigon-aide-asks-a-leave-in-retirementfund-study.html,article,"SAIGON, South Vietnam, April 1 (AP)—The Defense Minister, Lieut. Gen. Nguyen Van Vy, asked today for a leave of absence from his post while an investigation of charges of mismanagement of a mandatory military retirement fund was under way.",Archives,,Archives,,['Vietnam']
ADVISERS UNEASY,1972-04-02,https://www.nytimes.com/1972/04/02/archives/advisers-uneasy-see-a-possible-threat-to-hue-and-danang-if-push.html,article,"SAIGON, South Vietnam, Sunday, April 2—Thousands of North Vietnamese and Vietcong troops have driven past South Vietnam's northern line of defenses below the demilitarized zone and are pushing South Vietnamese forces in disarray toward their rear bases, United States military sources in Danang said yesterday.",Archives,By Craig R. Whitney Special to The New York Times,Archives,,['Vietnam']
South Vietnamese Are Fighting On Long‐Contested Battlefield,1972-04-02,https://www.nytimes.com/1972/04/02/archives/south-vietnamese-are-fighting-on-longcontested-battlefield.html,article,"SAIGON, South Vietnam, April 1 — South Vietnam's northern line of defense, which enemy forces were pressing this weekend, is a 40‐mile strip of sandy coastal plain, grassy foothills and rugged, junglecovered mountains. It has long been the arena of battles between allied troops holding the line and North Vietnamese troops trying to infiltrate the south.",Archives,By Fox Butterfield Special to The New York Times,Archives,,['Vietnam']
"10,000 IN MARCH TO PROTEST WAR",1972-04-02,https://www.nytimes.com/1972/04/02/archives/10000-in-march-to-protest-war-crowd-in-harrisburg-hears-message.html,article,"HARRISBURG, Pa., April 1—Thousands of demonstrators marched on the State Capitol today for a rally called as climax to the week‐long antiwar protests here.",Archives,BY Eleanor Blau Special to The New York Times,Archives,,['Vietnam']
Letters to the Editor,1972-04-02,https://www.nytimes.com/1972/04/02/archives/serving-political-ambition.html,article,To the Editor: That President Nixon is recalling American ground forces from Vietnam is certainly commendable even if the policy is seen as determined primarily by its effect on Mr. Nixon's political prospects.,Archives,,Archives,,['Vietnam']
STUDENT ARRESTS ARE LAID TO THIEU,1972-04-02,https://www.nytimes.com/1972/04/02/archives/student-arrests-are-laid-to-thieu-many-said-o-be-in-jail-beatings.html,article,"SAIGON, South Vietnam April 1 — University and school students, who make’ President Nguyen Van most vocal opposition days, charge that their have been disappearing the streets and ending up prison.",Archives,,Archives,,['Vietnam']
FULBRIGHT PLANS VIETNAM HEARINGS,1972-04-03,https://www.nytimes.com/1972/04/03/archives/fulbright-plans-vietnam-hearings.html,article,"WASHINGTON, April 2 (AP) —Senator J. W. Fulbright said today that the Senate Foreign Relations Committee would use the Pentagon papers as the basis for hearings on foreign policy decisions leading to United States involvement in the Vietnam war.",Archives,,Archives,,['Vietnam']
Thieu Flies to War Zone,1972-04-03,https://www.nytimes.com/1972/04/03/archives/thieu-flies-to-war-zone.html,article,"SAIGON, Monday, April 3 (UPI)—President Nguyen Van Thieu flew north to the combat zone this morning. Before leaving, he sent a brief message to the opening session of the National Asembly. It said: The military situation at the Demilitarized Zone in the past two days has become intense. I am watching it carefully and will report to you later.”",Archives,,Archives,,['Vietnam']
U. S. Aides in Saigon Calm In Face of North's Drive,1972-04-03,https://www.nytimes.com/1972/04/03/archives/u-s-aides-in-saigon-calm-in-face-of-norths-drive.html,article,"SAIGON, South Vietnam, April 2—American military and civilian officials in Saigon reacted calmly today to the North Vietnamese offensive below the demilitarized zone, many adopting the attitude, “It's a South Vietnamese operation now and we're going to leave it to them.”",Archives,By Fox Butterfield Special to The New York Times,Archives,,['Vietnam']
HALF OF PROVINCE IN SOUTH VIETNAM LOST TO INVADERS,1972-04-03,https://www.nytimes.com/1972/04/03/archives/half-of-province-in-south-vietnam-lost-to-invaders-saigons-troops.html,article,"SAIGON, South Vietnam, Monday, April 3—South Vietnamese forces abandoned the northern half of Quangtri Province yesterday to a North Vietnamese force, estimated at 12,000 to 15,000 men, that was still advancing southward behind tanks and intense artillery barrages. But while the cloud cover that has thwarted effective air support of the South Vietnamese remained, United States B‐52's dropped hundreds of tons of bombs through it yesterday.",Archives,By Craig R. Whitney Special to The New York Times,Archives,,['Vietnam']
U.S. Officials Say Hanoi Drive Violates 1968 Accord,1972-04-03,https://www.nytimes.com/1972/04/03/archives/us-officials-say-hanoi-drive-violates-1968-accord.html,article,"WASHINGTON, April 2 —Senior Administration officials asserted today that North Vietnam's offensive across the demilitarized zone was a clear violation of the 1968 understanding that produced an end to the systematic American bombing of North Vietnam and the start of substantive talks in Paris on concluding the Vietnam war.",Archives,By Bernard Gwertzman Special to The New York Times,Archives,,['Vietnam']
Bunker Returning,1972-04-03,https://www.nytimes.com/1972/04/03/archives/bunker-returning.html,article,"SAIGON, Monday, April 3 (Reuters) — The United States Ambassador to South Vietnam, Ellsworth Bunker, has cut short a holiday trip to Nepal to return to Saigon, Embassy officials said today. He is expected back tomorrow.",Archives,,Archives,,['Vietnam']
Giap Asks ‘Complete Victory’ In Attack on Saigon's Forces,1972-04-03,https://www.nytimes.com/1972/04/03/archives/giap-asks-complete-victory-in-attack-on-saigons-forces.html,article,"HONG KONG, April 2 —Hanoi's official press agency today quoted North Vietnam's Defense Minister, Gen, Vo Nguyen Giap, as calling on “the Vietnam people's armed forces” to march forward to “complete victory,” in what appeared to be an oblique reference to the offensive drives in South Vietnam.",Archives,By Tillman Durdin Special to The New York Times,Archives,,['Vietnam']
NIXON SEES AIDES,1972-04-04,https://www.nytimes.com/1972/04/04/archives/nixon-sees-aides-renewed-bombing-of-north-among-steps-being-weighed.html,article,"WASHINGTON, April 3 —The United States accused Hanoi today of launching an “invasion” of Smith Vietnam and said Washington was leav ing open all retaliatory options —including renewed American bombing of North Vietnam.",Archives,By Bernard Gwertzman Special to The New York Times,Archives,,['Vietnam']
"U.S. Strength in Vietnam Now Down to 95,000 Men",1972-04-04,https://www.nytimes.com/1972/04/04/archives/us-strength-in-vietnam-now-down-to-95000-men.html,article,"SAIGON, South Vietnam, April 3 (UPI)—The United States command announced to day that the number of Amer ican servicemen in Vietnam was cut back by 6,200 last week, to 95,500 men, almost a seven‐year low.",Archives,,Archives,,['Vietnam']
SAIGON RESTRICTS ITS PRESS ON WAR,1972-04-04,https://www.nytimes.com/1972/04/04/archives/saigon-restricts-its-press-on-war-tells-papers-to-carry-only.html,article,"SAIGON, South Vietnam, April 3—The director of the National Press Center warned the Vietnamese press today that it must print only official Government versions of the battles in Quangtri Province.",Archives,By Fox Butterfield Special to The New York Times,Archives,,"['Vietnam', 'Vietnam']"
"An Outpost, In Stillness, Awaits Foe",1972-04-04,https://www.nytimes.com/1972/04/04/archives/an-outpost-in-stillness-awaits-foe.html,article,"DONGHA, South Vietnam, April 3 (Reuters)—Pigs, sniff ing around the corpses of North Vietnamese soldiers, were the only things moving today in this battered town in the middle of the North Vietnamese offensive below the demilitarized zone.",Archives,,Archives,,['Vietnam']
UNION CHIEF TELLS OF HANOI PROPOSAL,1972-04-04,https://www.nytimes.com/1972/04/04/archives/union-chief-tells-of-hanoi-proposal.html,article,"North Vietnam would accept a three‐part coalition govern ment in the South, according to three American labor leaders who met recently in Hanoi with Le Due Tho, a senior negotiator at the Paris peace talks.",Archives,,Archives,,['Vietnam']
PENTAGON IS SUED ON MYLAI REPORT,1972-04-04,https://www.nytimes.com/1972/04/04/archives/pentagon-is-sued-on-mylai-report-rep-aspin-seeks-release-of-peers.html,article,"WASHINGTON, April 3 —Representative Les Aspin, Democrat of Wisconsin, asked the United States District Court here today to order the Penta gon to release the report of the Army's confidential investiga tion of the mass Slayings at Mylai.",Archives,By Richard Halloran Special to The New York Times,Archives,,['Vietnam']
