year_month,LABEL_0,LABEL_1,LABEL_2
1967-01-01,79,376,8
1967-02-01,59,337,3
1967-03-01,82,359,6
1967-04-01,74,352,7
1967-05-01,99,375,5
1967-06-01,56,232,2
1967-07-01,64,237,7
1967-08-01,94,345,6
1967-09-01,79,351,7
1967-10-01,85,418,7
1967-11-01,82,431,10
1967-12-01,71,425,9
1968-01-01,88,422,10
1968-02-01,120,471,7
1968-03-01,86,552,10
1968-04-01,73,463,17
1968-05-01,59,344,11
1968-06-01,44,302,2
1968-07-01,54,329,4
1968-08-01,84,383,7
1968-09-01,92,355,3
1968-10-01,77,411,9
1968-11-01,46,327,11
1968-12-01,51,264,6
1969-01-01,36,239,7
1969-02-01,29,163,7
1969-03-01,46,279,6
1969-04-01,43,220,4
1969-05-01,48,283,7
1969-06-01,40,263,2
1969-07-01,48,222,3
1969-08-01,50,233,2
1969-09-01,47,264,4
1969-10-01,79,444,14
1969-11-01,107,511,11
1969-12-01,72,392,8
1970-01-01,51,283,6
1970-02-01,65,229,3
1970-03-01,55,296,1
1970-04-01,50,320,5
1970-05-01,98,667,13
1970-06-01,75,406,9
1970-07-01,47,282,7
1970-08-01,40,259,3
1970-09-01,35,240,7
1970-10-01,43,271,5
1970-11-01,44,244,1
1970-12-01,33,242,2
1971-01-01,29,252,3
1971-02-01,47,330,4
1971-03-01,58,380,2
1971-04-01,49,417,3
1971-05-01,52,312,2
1971-06-01,42,527,0
1971-07-01,40,490,5
1971-08-01,33,267,2
1971-09-01,51,241,4
1971-10-01,31,250,3
1971-11-01,27,211,5
1971-12-01,36,208,1
1972-01-01,35,247,0
1972-02-01,34,221,3
1972-03-01,20,174,4
1972-04-01,65,452,4
1972-05-01,67,569,3
1972-06-01,66,313,3
1972-07-01,47,284,2
1972-08-01,48,272,0
1972-09-01,43,321,1
1972-10-01,55,479,11
1972-11-01,43,351,3
1972-12-01,67,421,6
1973-01-01,67,527,18
1973-02-01,39,398,10
1973-03-01,32,301,6
1973-04-01,28,245,6
1973-05-01,31,188,5
1973-06-01,25,152,3
1973-07-01,27,144,0
1973-08-01,17,96,2
1973-09-01,11,77,0
1973-10-01,14,93,4
1973-11-01,20,77,0
1973-12-01,12,89,1
